,n_estimators,booster,colsample_bytree,learning_rate,max_depth,min_child_weight,min_split_loss,reg_alpha,reg_lambda,score
0,6,gblinear,0.16326530612244897,0.18367346938775508,19,8,13,0.8979591836734693,0.0,0.5
1,11,gblinear,0.02040816326530612,0.8163265306122448,25,14,42,0.3469387755102041,0.6122448979591836,0.5
2,25,gbtree,0.3469387755102041,0.4897959183673469,10,1,40,0.9183673469387754,0.32653061224489793,0.8205749999999998
3,16,gblinear,0.36734693877551017,0.1020408163265306,13,3,3,0.36734693877551017,0.12244897959183673,0.5
4,1,gblinear,0.9795918367346939,0.04081632653061224,2,10,22,0.22448979591836732,0.6530612244897959,0.5
5,3,gblinear,0.7142857142857142,0.36734693877551017,2,4,25,0.4693877551020408,0.22448979591836732,0.5
6,4,gbtree,0.9591836734693877,0.8163265306122448,40,14,17,0.9591836734693877,0.24489795918367346,0.7836500000000001
7,13,gblinear,0.9183673469387754,0.1020408163265306,29,10,43,0.24489795918367346,0.4693877551020408,0.5
8,4,gbtree,0.8979591836734693,0.12244897959183673,26,6,38,0.6938775510204082,0.2040816326530612,0.7410749999999999
9,9,gbtree,0.5714285714285714,0.16326530612244897,18,6,35,0.2857142857142857,0.22448979591836732,0.7671500000000001
10,15,gblinear,0.4897959183673469,0.5102040816326531,13,9,47,0.8163265306122448,0.9591836734693877,0.5
11,21,gbtree,1.0,0.061224489795918366,45,10,14,0.32653061224489793,0.5306122448979591,0.7801750000000001
12,2,gblinear,0.0,0.2857142857142857,3,1,1,0.2040816326530612,0.4081632653061224,0.54815
13,28,gblinear,0.4081632653061224,0.4081632653061224,31,0,24,0.7755102040816326,0.04081632653061224,0.5
14,20,gblinear,0.22448979591836732,0.7959183673469387,22,4,26,0.0,0.9591836734693877,0.7380500000000001
15,14,gblinear,0.18367346938775508,0.4081632653061224,43,11,22,0.9591836734693877,0.7755102040816326,0.5
16,12,gblinear,0.16326530612244897,0.32653061224489793,36,14,42,0.7551020408163265,0.4693877551020408,0.5
17,5,gbtree,0.9387755102040816,0.12244897959183673,20,16,41,0.5102040816326531,0.3061224489795918,0.7441500000000001
18,28,gblinear,0.24489795918367346,0.061224489795918366,41,19,19,0.3061224489795918,0.02040816326530612,0.5
19,4,gblinear,0.4081632653061224,0.673469387755102,6,1,9,0.4693877551020408,0.6530612244897959,0.5
20,21,gblinear,0.22448979591836732,0.3061224489795918,21,1,47,0.32653061224489793,0.8979591836734693,0.5
21,12,gbtree,0.22448979591836732,0.6938775510204082,15,12,19,0.9387755102040816,0.7755102040816326,0.8146000000000001
22,19,gblinear,0.16326530612244897,0.8571428571428571,15,10,2,0.44897959183673464,0.2040816326530612,0.5
23,26,gbtree,0.8979591836734693,0.32653061224489793,31,19,21,0.7346938775510203,0.44897959183673464,0.8326749999999998
24,18,gblinear,0.1020408163265306,0.9183673469387754,6,1,4,0.9183673469387754,0.5918367346938775,0.5
25,20,gbtree,0.8163265306122448,0.42857142857142855,37,0,24,0.42857142857142855,0.42857142857142855,0.830275
26,10,gbtree,0.3061224489795918,0.3061224489795918,32,6,34,0.7755102040816326,0.14285714285714285,0.791425
27,15,gblinear,0.6938775510204082,0.16326530612244897,48,12,12,0.8163265306122448,0.061224489795918366,0.5
28,21,gblinear,0.7551020408163265,0.7755102040816326,1,2,45,0.7959183673469387,0.3061224489795918,0.5
29,5,gbtree,0.7142857142857142,0.14285714285714285,24,14,45,0.836734693877551,0.8571428571428571,0.746175
30,17,gblinear,0.5102040816326531,0.4081632653061224,16,5,44,0.836734693877551,0.9183673469387754,0.5
31,22,gblinear,1.0,0.3061224489795918,19,5,18,0.22448979591836732,0.5102040816326531,0.5795
32,6,gblinear,0.3877551020408163,0.061224489795918366,12,10,28,0.3061224489795918,0.9387755102040816,0.5
33,6,gblinear,0.5714285714285714,0.7346938775510203,40,6,44,0.36734693877551017,0.7346938775510203,0.5
34,13,gblinear,0.4897959183673469,0.24489795918367346,31,16,23,0.6326530612244897,0.4081632653061224,0.5
35,16,gblinear,0.36734693877551017,0.673469387755102,47,16,45,0.5918367346938775,1.0,0.5
36,27,gbtree,0.6530612244897959,0.4693877551020408,45,10,43,0.4693877551020408,0.5102040816326531,0.815825
37,1,gblinear,0.24489795918367346,0.4693877551020408,27,7,37,0.9591836734693877,0.9591836734693877,0.5
38,19,gbtree,0.8775510204081632,0.5510204081632653,42,7,38,0.9591836734693877,0.3877551020408163,0.815425
39,17,gblinear,0.22448979591836732,1.0,44,4,28,0.7142857142857142,0.5714285714285714,0.5
40,2,gbtree,0.2040816326530612,0.7959183673469387,23,9,8,0.04081632653061224,0.8571428571428571,0.722325
41,20,gblinear,0.18367346938775508,0.9795918367346939,16,3,2,0.836734693877551,0.5102040816326531,0.5
42,24,gbtree,0.12244897959183673,0.2857142857142857,30,4,49,0.3469387755102041,0.4081632653061224,0.809675
43,24,gblinear,0.673469387755102,0.5102040816326531,20,14,26,0.836734693877551,0.1020408163265306,0.5
44,6,gbtree,0.2857142857142857,0.5918367346938775,39,2,30,0.16326530612244897,0.08163265306122448,0.78645
45,15,gblinear,0.2040816326530612,0.9387755102040816,22,16,46,0.2040816326530612,0.6530612244897959,0.5795
46,22,gblinear,0.7959183673469387,0.0,44,1,3,0.8571428571428571,0.02040816326530612,0.5
47,24,gbtree,0.0,0.2857142857142857,1,17,20,0.44897959183673464,0.673469387755102,0.5010749999999999
48,24,gbtree,0.061224489795918366,0.7959183673469387,29,3,36,0.18367346938775508,0.2040816326530612,0.8087250000000001
49,20,gbtree,0.7959183673469387,0.16326530612244897,2,14,24,0.1020408163265306,0.4897959183673469,0.7292500000000001
